name,location,area,type,link,price,number_of_bedrooms,pictures
Own Villa 540 sqm Mountain View 2 Fully finished,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",540 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-1827048.html,"18,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485358/260/185/MODE/9c7cc5/1827048-557b2o.jpg?ctr=eg
Twin house in Katameya dunes 300 sqm semi finished,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-1827052.html,"12,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485762/260/185/MODE/717280/1827052-58723o.jpg?ctr=eg
FULLY FINISHED APARTMENT AT HYDE PARK  3 BED,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",227 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1826770.html,"2,900,000 EGP",3 ,https://www.propertyfinder.eg/property/1619457483/260/185/MODE/bc87bc/1826770-cd94do.jpg?ctr=eg
buy apartment 230 m with installments over6 years,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",230 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-bait-alwatan-1828390.html,"1,610,000 EGP",3 ,https://www.propertyfinder.eg/property/1619529012/260/185/MODE/46d8b8/1828390-8cf2co.jpg?ctr=eg
Apartment fully finished with instalment delivered,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",121 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-90-street-the-address-east-1828088.html,"2,000,000 EGP",2 ,https://www.propertyfinder.eg/property/1619527456/260/185/MODE/ad7d11/1828088-7e89fo.jpg?ctr=eg
Special Price Villa 300 SQM at Stone Park for sale,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-park-1824244.html,"6,000,000 EGP",3 ,https://www.propertyfinder.eg/property/1619438141/260/185/MODE/63e7e5/1824244-2f9b1o.jpg?ctr=eg
Apartment | Fully Finished |Uptown Cairo | Emaar,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",239 sqm,Apartment,/en/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-fourteen-golf-residences-1828392.html,"4,860,000 EGP",3 ,https://www.propertyfinder.eg/property/1619529015/260/185/MODE/3b3168/1828392-8400bo.jpg?ctr=eg
Penthouse Corner 220 M for sale in StoneResidence,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",220 sqm,Penthouse,/en/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-1829407.html,"2,200,000 EGP",4 ,https://www.propertyfinder.eg/property/1619534042/260/185/MODE/9f7e9b/1829407-05b1co.jpg?ctr=eg
200 meter apartment in Castle Landmark,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-castle-landmark-1827237.html,"1,800,000 EGP",3 ,https://www.propertyfinder.eg/property/1619520214/260/185/MODE/94fd98/1827237-a7c4fo.jpg?ctr=eg
Apartment 180m In Midtown With Facilities,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",180 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-sky-1827299.html,"1,710,000 EGP",3 ,https://www.propertyfinder.eg/property/1619521470/260/185/MODE/f48140/1827299-ef250o.jpg?ctr=eg
For Sale Standalone 391m at PK2 under market price,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-1827058.html,"6,500,000 EGP",3 ,https://www.propertyfinder.eg/property/1619486244/260/185/MODE/bc00f9/1827058-d7d4ao.jpg?ctr=eg
Standalone villa - for sale in Creek Town Compound,"Creek Town, The 1st Settlement, New Cairo City, Cairo",350 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-creek-town-1826802.html,"12,400,000 EGP",4 ,https://www.propertyfinder.eg/property/1619459866/260/185/MODE/24ee99/1826802-4ff6bo.jpg?ctr=eg
Best Location Villa D Zone|at Stone Park Lake View,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",380 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-park-1824242.html,"10,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619438135/260/185/MODE/2c4b51/1824242-53cf4o.jpg?ctr=eg
Very prime location Ivilla garden for sale at MVHP,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",287 sqm,iVilla,/en/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-1825541.html,"3,600,000 EGP",3 ,https://www.propertyfinder.eg/property/1619445774/260/185/MODE/c0fbcb/1825541-3953co.jpg?ctr=eg
Apartment 197m under market price,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-1825826.html,"3,100,000 EGP",3 ,https://www.propertyfinder.eg/property/c954ca630cab1f166e9f87f5832c03b9/260/185/MODE/912451/1825826-7deebo.jpg?ctr=eg
Apartment 133m at MVHP prime location for sale,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",133 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-1826161.html,"1,650,000 EGP",2 ,https://www.propertyfinder.eg/property/cfc883e8e19e9bd2fe8ba7bc2c886d52/260/185/MODE/fd0f28/1826161-27d16o.jpg?ctr=eg
Sunny Apartment For Sale In Maadi Sarayat,"Sarayat Al Maadi, Hay El Maadi, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-hay-el-maadi-sarayat-al-maadi-1827260.html,"3,000,000 EGP",3 ,https://www.propertyfinder.eg/property/1619520790/260/185/MODE/7697bd/1827260-05e58o.jpg?ctr=eg
Own Villa 320 m palm hills katameya Extension pk2,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",320 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-1827025.html,"8,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619483705/260/185/MODE/3d3aa4/1827025-1e5a9o.jpg?ctr=eg
Town Corner Layan 272 with down 2.8 million rest,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",272 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-1827181.html,"2,800,000 EGP",4 ,https://www.propertyfinder.eg/property/1619513900/260/185/MODE/acfe18/1827181-34ffco.jpg?ctr=eg
Villa Without Over For Sale in Mivida Delivery Now,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",355 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1827904.html,"17,364,888 EGP",4 ,https://www.propertyfinder.eg/property/1619526342/260/185/MODE/5eeed3/1827904-efbe6o.jpg?ctr=eg
for sale with Special Price Twin House at Mivida .,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",321 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1827614.html,"7,175,000 EGP",4 ,https://www.propertyfinder.eg/property/1619524540/260/185/MODE/d17b15/1827614-3438co.jpg?ctr=eg
Own Villa 540 sqm Mountain View 2 Fully finished,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",540 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-1827048.html,"18,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485358/260/185/MODE/9c7cc5/1827048-557b2o.jpg?ctr=eg
Twin house in Katameya dunes 300 sqm semi finished,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-1827052.html,"12,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485762/260/185/MODE/717280/1827052-58723o.jpg?ctr=eg
Apartment 3 bed in New Capital Compounds for sale,"De Joya, New Capital Compounds, New Capital City, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1827316.html,"200,000 EGP",3 ,https://www.propertyfinder.eg/property/1619521633/260/185/MODE/7f1d87/1827316-3d9deo.jpg?ctr=eg
Flat 165 m at Best location of El patio Best Price,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",165 sqm,Apartment,/en/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-patio-casa-1825778.html,"1,850,000 EGP",3 ,https://www.propertyfinder.eg/property/1619447117/260/185/MODE/e8abee/1825778-2ef22o.jpg?ctr=eg
Medium Villa 532 M with Basement Sale in Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",532 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1825443.html,"12,500,000 EGP",4 ,https://www.propertyfinder.eg/property/1619445214/260/185/MODE/0bc27d/1825443-882efo.jpg?ctr=eg
 340 -  580  -    - ,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",340 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-1825830.html,"580,000 EGP",4 ,https://www.propertyfinder.eg/property/1619447470/260/185/MODE/a27fd2/1825830-a408fo.jpg?ctr=eg
Apartment 200 m For Sale in New Capital city,"De Joya, New Capital Compounds, New Capital City, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1827481.html,"2,100,000 EGP",3 ,https://www.propertyfinder.eg/property/1619523493/260/185/MODE/e367d7/1827481-fc801o.jpg?ctr=eg
Villa in Katameya Heights 460 sqm Fully finished,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",460 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-1827051.html,"29,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485670/260/185/MODE/5c0f97/1827051-f652do.jpg?ctr=eg
FULLY FINISHED APARTMENT AT HYDE PARK  3 BED,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",227 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1826770.html,"2,900,000 EGP",3 ,https://www.propertyfinder.eg/property/1619457483/260/185/MODE/bc87bc/1826770-cd94do.jpg?ctr=eg
       ,"Amorada, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-amorada-1826272.html,"2,230,000 EGP",3 ,https://www.propertyfinder.eg/property/1619450535/260/185/MODE/545a1d/1826272-ce505o.jpg?ctr=eg
Stand alone in Villette 360 sqm semi finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1827038.html,"12,250,000 EGP",4 ,https://www.propertyfinder.eg/property/1619484641/260/185/MODE/ca40f7/1827038-9307ao.jpg?ctr=eg
Duplex apartment ground floor in a garden capital,"De Joya, New Capital Compounds, New Capital City, Cairo",378 sqm,Duplex,/en/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1826922.html,"367,000 EGP",6 ,https://www.propertyfinder.eg/property/1619475346/260/185/MODE/ce0602/1826922-45082o.jpg?ctr=eg
For Sale villa in Mivida Fully finished | 437M,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",437 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1828477.html,"11,500,000 EGP",5 ,https://www.propertyfinder.eg/property/1619529502/260/185/MODE/8f3b44/1828477-9b84co.jpg?ctr=eg
Duplex Fully Finished For Sale in Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",302 sqm,Duplex,/en/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-1828298.html,"6,500,000 EGP",3 ,https://www.propertyfinder.eg/property/1619528538/260/185/MODE/ec0751/1828298-0cebdo.jpg?ctr=eg
Apartment for sale 3 bed in New Capital Compounds,"De Joya, New Capital Compounds, New Capital City, Cairo",139 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1828458.html,"1,668,000 EGP",3 ,https://www.propertyfinder.eg/property/1619529347/260/185/MODE/a5898b/1828458-e99b7o.jpg?ctr=eg
For sale Apartment ground  - at  Eastown  - Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",148 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-1828841.html,"2,500,605 EGP",2 ,https://www.propertyfinder.eg/property/1619531392/260/185/MODE/2f5b28/1828841-78d45o.jpg?ctr=eg
apartment sale maadi cornish super lux nile view,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",190 sqm,Apartment,/en/buy/apartment-for-sale-cairo-hay-el-maadi-maadi-cornish-el-nile-st-1824377.html,"2,750,000 EGP",3 ,https://www.propertyfinder.eg/property/1619439057/260/185/MODE/523cfb/1824377-ef49do.jpg?ctr=eg
